"ORDEN,""IPAT"",""FECHA"",""AÑO"",""MES"",""DIA"",""GRAVEDAD"""
"207,""A000575669"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""SOLO DAÑOS"""
"208,""A000575666"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""CON HERIDOS"""
"209,""A000575657"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""CON HERIDOS"""
"210,""A000575661"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""CON HERIDOS"""
"211,""A000575667"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""SOLO DAÑOS"""
"212,""A000575665"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""CON HERIDOS"""
"213,""A000575664"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""SOLO DAÑOS"""
"214,""A000575641"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""CON HERIDOS"""
"215,""A000575646"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""SOLO DAÑOS"""
"216,""A000575668"",""2017-09-25T00:00:00.000"",""2017"",""9"",""lunes"",""SOLO DAÑOS"""
"217,""A000575679"",""2017-09-26T00:00:00.000"",""2017"",""9"",""martes"",""SOLO DAÑOS"""
"218,""A000575672"",""2017-09-26T00:00:00.000"",""2017"",""9"",""martes"",""SOLO DAÑOS"""
"219,""A000575682"",""2017-09-26T00:00:00.000"",""2017"",""9"",""martes"",""SOLO DAÑOS"""
"220,""A000575681"",""2017-09-26T00:00:00.000"",""2017"",""9"",""martes"",""CON HERIDOS"""
"221,""A000575680"",""2017-09-26T00:00:00.000"",""2017"",""9"",""martes"",""CON HERIDOS"""
"222,""A000575652"",""2017-09-26T00:00:00.000"",""2017"",""9"",""martes"",""CON HERIDOS"""
"223,""A000575650"",""2017-09-26T00:00:00.000"",""2017"",""9"",""martes"",""CON HERIDOS"""
"224,""A000575677"",""2017-09-26T00:00:00.000"",""2017"",""9"",""martes"",""SOLO DAÑOS"""
"225,""A000575671"",""2017-09-26T00:00:00.000"",""2017"",""9"",""martes"",""CON HERIDOS"""
"226,""A000575676"",""2017-09-26T00:00:00.000"",""2017"",""9"",""martes"",""CON HERIDOS"""
"227,""A000575678"",""2017-09-26T00:00:00.000"",""2017"",""9"",""martes"",""CON HERIDOS"""
"228,""A000575683"",""2017-09-26T00:00:00.000"",""2017"",""9"",""martes"",""CON HERIDOS"""
"229,""A000575653"",""2017-09-26T00:00:00.000"",""2017"",""9"",""martes"",""SOLO DAÑOS"""
"230,""A000575684"",""2017-11-07T00:00:00.000"",""2017"",""11"",""martes"",""SOLO DAÑOS"""
"231,""A000575686"",""2017-11-07T00:00:00.000"",""2017"",""11"",""martes"",""CON HERIDOS"""
"232,""A000575690"",""2017-11-07T00:00:00.000"",""2017"",""11"",""martes"",""SOLO DAÑOS"""
"233,""A000575692"",""2017-11-07T00:00:00.000"",""2017"",""11"",""martes"",""CON HERIDOS"""
"234,""A000575695"",""2017-11-07T00:00:00.000"",""2017"",""11"",""martes"",""SOLO DAÑOS"""
"235,""A000575688"",""2017-11-07T00:00:00.000"",""2017"",""11"",""martes"",""SOLO DAÑOS"""
"236,""A000575689"",""2017-11-07T00:00:00.000"",""2017"",""11"",""martes"",""SOLO DAÑOS"""
"237,""A000575687"",""2017-11-07T00:00:00.000"",""2017"",""11"",""martes"",""SOLO DAÑOS"""
"238,""A000575685"",""2017-11-07T00:00:00.000"",""2017"",""11"",""martes"",""SOLO DAÑOS"""
"239,""A000575693"",""2017-11-07T00:00:00.000"",""2017"",""11"",""martes"",""SOLO DAÑOS"""
"240,""A000575691"",""2017-11-07T00:00:00.000"",""2017"",""11"",""martes"",""CON HERIDOS"""
"241,""A000575574"",""2017-11-07T00:00:00.000"",""2017"",""11"",""martes"",""CON HERIDOS"""
"242,""A000575694"",""2017-11-07T00:00:00.000"",""2017"",""11"",""martes"",""CON HERIDOS"""
"243,""A000575696"",""2017-11-09T00:00:00.000"",""2017"",""11"",""jueves"",""CON HERIDOS"""
"244,""A000575697"",""2017-11-09T00:00:00.000"",""2017"",""11"",""jueves"",""SOLO DAÑOS"""
"245,""A000575698"",""2017-11-09T00:00:00.000"",""2017"",""11"",""jueves"",""SOLO DAÑOS"""
"246,""A000575670"",""2017-11-09T00:00:00.000"",""2017"",""11"",""jueves"",""CON HERIDOS"""
"247,""A000575703"",""2017-11-09T00:00:00.000"",""2017"",""11"",""jueves"",""CON HERIDOS"""
"248,""A000575713"",""2017-11-10T00:00:00.000"",""2017"",""11"",""viernes"",""CON HERIDOS"""
"249,""A000575709"",""2017-11-10T00:00:00.000"",""2017"",""11"",""viernes"",""CON HERIDOS"""
